class;term;comment
material entity;polygonal karst;Karst completely pitted by closed depressions so that divides between them form a crudely polygonal network.
material entity;doline;A closed depression draining underground in karst, of simple but variable form, e.g. cylindrical, conical, bowl- or dish-shaped. From a few to many hundreds of metres in dimensions.
material entity;subjacent karst;Karst developed in soluble beds underlying other rock formations. the surface may or may not be affected by the karst development.
material entity;stalagmite;A speleothem projecting vertically upwards from a cave floor and formed by precipitation from drips.
process;wildfire;A conflagration which is uncontrolled and combusts material in a vegetated area, be it rural or wild.
material entity;university building;An institutional building in which university services are performed.
material entity;stalactite;A speleothem hanging downwards from a roof or wall, of cylindrical or conical form, usually with a central hollow tube.
process;fire;A fire is a process whereby rapid and exothermic oxidation of a material through a combustion process releases heat, light, and other products.
material entity;fire station;An institutional building in which firefighting apparati are stored, and which may include staff living spaces.
material entity;flame;A portion of gas which is emitted by a fire or other exothermic reaction, is of increased temperature, and typically emits light in the visible range.
process;conflagration;A fire which occurs in a large spatial area poses a risk to human life, animal life, health, and/or property.
material entity;school building;An institutional building in which students are educated.
material entity;public utility line;A utility line which services the public power grid.
material entity;acute care facility;A healthcare facility which is used for short-term patient care.
material entity;utility line;A cable used to trasmit electricity from its point of production to its point of consumption.
material entity;clinical patient assessment facility;A healthcare facility in which patients are medically assessed.
process;material extraction process;A planned process during which a portion of environmental material is removed from a material entity.
material entity;homeless shelter;An institutional building which temporarily houses homeless people.
material entity;illegal informal settlement;A populated place where groups of housing units have been constructed on land that the occupants have no legal claim to, or occupy illegally, or where dwellings are not in compliance with current planning and building regulations.
material entity;healthcare facility;A human construction in which healthcare is provided.
material entity;phreatic zone;A compound astronomical body part which is located beneath the land surface and in which all interstices are filled with water that has a hydraulic head greater than atmospheric pressure due to the weight of overlying groundwater.
material entity;speleothem;A secondary mineral deposit formed in caves, most commonly calcite.
material entity;hydrocarbon flame;A flame which is produced by the combustion of hydrocarbon fuel.
material entity;conference room;A room which accommodates conferences.
material entity;permanent hair dye;An environmental material which is 1) manufactured and 2) primarily composed of hydrogen peroxide and ammonia, and 3) when applied to hair, can alter the natural hair pigments for 6-8 weeks.
material entity;vadose zone;An interface layer which 1) is primarily composed of solid materials, 2) separates the land surface and phreatic zone, and 3) contains groundwater at atmospheric pressure.
material entity;educational facility;A human construction in which people are educated.
material entity;methyl cellulose paste;An environmental material which is 1) composed primarily of methyl cellulose and water, and 2) formulated to fix wallpaper to walls.
material entity;polje;A large closed depression draining underground, with a flat floor across which there may be an intermittent or perennial stream and which may be liable to flood and become a lake. The floor makes a sharp break with parts of surrounding slopes.
process;mass gaseous flow;A process whereby a large volume of gas moves due to a disequilibrium of physical forces.
material entity;church building;A building which is primarily used for Christian religious activities.
material entity;rubber cement;An environmental material which is composed of elastic polymers mixed in a solvent.
material entity;sea cave;A cave in present-day or emerged sea cliffs, formed by wave attack or solution.
process;forest fire;A wildfire which occurs in a forest, primarily consuming vegetation as fuel.
material entity;conference venue;A building which accomodates conferences.
material entity;live cave;A cave containing a stream or active speleothems.
material entity;outflow cave;A cave from which a stream flows or formerly did so and which cannot be followed upstream to the surface.
material entity;oil;A nonpolar, hydrophobic, and lipophilic material which is a viscous liquid at ambient temperatures (about 20 degrees Celsius) or slightly warmer.
material entity;joint-plane cave;A cavity developed along a joint and elongate in cross-section.
material entity;petroleum;A naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the planetary surfaces.
material entity;volcanic cave;A cave formed in volcanic rock.
material entity;fuel oil;An oil which 1) is liquid at room temperature (approximately 20 degrees Celsius) 2) is intended to be burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, 3) is obtained from petroleum distillation, either as a distillate or a residue, 4) composed of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics.
material entity;clay;Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.
object;piece of plastic;A mass of solid material which is primarily composed of plastic.
material entity;dairy farm;A farm which produces milk or products derived from milk.
material entity;crevasse;A deep fissure in snow or ice.
material entity;mesotrophic lake;A lake with medium nutrient levels, which allow moderate productivity.
material entity;building corridor;A building part which is a narrow hall or passage in a building with rooms leading off it.
fiat object;key biodiversity area;An environmental zone which contains, as determined by an officially mandated selection process, one or more ecosystems which include, as parts, ecological communities of global significance for conservation due to their vulnerability and irreplaceability.
object;nurdle;A plastic pellet which is produced such that its size allows it to be rapidly melted and used as input for further downstream manufacturing processes.
fiat object;rural area;An area which is outside of a town, city, or urban area. Rural areas are primarily used for agriculture or pastoralism and may contain rural settlements.
material entity;airport concourse;An industrial building which provides travelers with access to airplanes.
material entity;all season road;A road which is usable across all seasons.
material entity;airport transit lounge;A room in an airport where en-route passengers can wait between flights..
material entity;oligotrophic lake;A lake which has nutrient-poor water.
material entity;airport;A human construction with extended facilities from which aircraft flight operations take place.
material entity;village;A village is a clustered human settlement or community, larger than a hamlet but smaller than a town, with a population ranging from a few hundred to a few thousand. Though often located in rural areas, the term urban village is also applied to certain urban neighbourhoods. Villages are normally permanent, with fixed dwellings. however, transient villages can occur. Further, the dwellings of a village are fairly close to one another, not scattered broadly over the landscape, as a dispersed settlement.
material entity;airport terminal;An industrial building in an airport where passengers transfer between facilities and vehicles.
material entity;pharmaceutical ink;A colorant fluid which is 1) manufactured and 2) composed of alcohol, titanium dioxide, and propylene glycol.
material entity;public infrastructure;The system of public works in a country, state or region, including roads, utility lines and public buildings.
material entity;gel ink;A colorant fluid which is 1) manufactured and 2) composed of copper phthalocyanine, iron oxides, water, and biopolymers.
material entity;high tide zone;The tide zone that is flooded during high tide only, and is a highly saline environment.
material entity;low tide zone;The tidal zone that is mostly submerged, only being exposed at the point of low tide and for a longer period of time during extremely low tides.
material entity;intertidal zone;The area of the foreshore and seabed that is exposed to the air at low tide and submerged at high tide, i.e., the area between tide marks.
material entity;transport hub;A place where passengers and cargo are exchanged between vehicles or/and between transport modes.
material entity;tidal pool;Pools formed as a high tide comes in over a rocky shore. Water fills depressions in the ground, which turn into isolated pools as the tide retreats.
material entity;public transport hub;A transport hub which is part of public infrastructure.
material entity;alluvial fan;A fan-shaped deposit formed where a fast flowing stream flattens, slows, and spreads typically at the exit of a canyon onto a flatter plain.
material entity;public building;A building which is publically accessible.
material entity;public subway train;A subway train which is owned by a government or other form of public representation.
function;chemical colorant;A function which is realised by a chemical when applied to a material, such that it alters the material's colour.
material entity;bajada;A convergence of neighboring alluvial fans into a single apron of deposits against a slope.
material entity;public road;A road which is publically accessible.
material entity;rapid transit system;A public transit system which is owned by a government or other form of public representation.
material entity;colorant fluid;A liquid environmental material which 1) contains at least one substance which can act as a chemical colorant.
material entity;sandur;The plain formed by the large amounts of silt and sediment, picked up as a glacier erodes the underlying rocks as it moves slowly downhill, and at the snout of the glacier, meltwater can carry this sediment away from the glacier and deposit it on a broad plain. The material in the outwash plain is often size-sorted by the water runoff of the melting glacier with the finest materials, like silt, being the most distantly re-deposited, whereas larger boulders are the closest to the original terminus of the glacier.
material entity;emissions from petroleum combustion;An environmental material which is composed primarily of gases and particles produced by the combustion of petroleum fuels.
material entity;blowout;A sandy depression in a sand dune ecosystem (psammosere) caused by the removal of sediments by wind.
material entity;meteor impact crater;A crater caused by the impact of a meteor.
material entity;agricultural experimental station;A research station in which food production and/or agribusinness research is performed.
material entity;aqueous inkjet printer ink;A colorant fluid which is 1) manufactured, 2) primarily composed of water, as well as glycol, and dye, and 3) intended for use in inkjet printers.
material entity;kettle;A fluvioglacial landform occurring as the result of blocks of ice calving from the front of a receding glacier and becoming partially to wholly buried by glacial outwash. Glacial outwash is generated when sediment laden streams of meltwater flow away from the glacier and are deposited to form broad outwash plains called sandurs. When the ice blocks melt, holes are left in the sandur.
material entity;soy ink;A colorant fluid which is 1) manufactured and 2) primarily composed of soybean oil, as well as pigment, resin, and wax.
material entity;marine channel;A channel of a watercourse which contains marine water.
process;ultraviolet stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 10 nm and 400 nm.
material entity;lake channel;A channel of a watercourse which contains lake water.
process;visible spectrum stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 380 nm and 760 nm.
material entity;strait;A narrow channel of water that connects two larger bodies of water, and thus lies between two land masses.
process;gamma-ray stellar radiation;A stellar radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.
material entity;channel of a watercourse;A depressed landform which physically confines a river, slough or ocean strait, and which consists of a bed and banks.
process;X-ray stellar radiation;A stellar radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.
material entity;primer (paint);A paint product which adheres to surfaces and forms a binding layer, preparing it to receive paint.
object;ice tongue;A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake.
process;microwave stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths and frequencies which travel exclusively in a line-of-sight fashion and which may produce molecular rotation and torsion on contact with matter.
material entity;oil paint thinner;A solvent used to thin oil-based paints or clean up after their use.
material entity;sound;A large sea or ocean inlet larger than a bay, deeper than a bight, wider than a fjord, or it may identify a narrow sea or ocean channel between two bodies of land.
process;stellar radiation;An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star.
material entity;enamel thinner;A paint thinner specific for altering the viscosity of enamel paints.
material entity;mountain spur;A spur which is part of a mountain.
process;infrared stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm.
material entity;acrylic paint medium;A liquid, gel, or paste that can be mixed into acrylic paint to alter paint consistency and properties.
material entity;land bridge;An isthmus or other land connection between what at other times are separate land masses which allows animals and plants to cross and colonise new lands. Land bridges are commonly created by regression, in which sea levels fall exposing previously submerged sections of continental shelf. Land bridges are also formed by: (a) upthrust at the edge of continental plates. and (b) glacial retreat alleviating pressure on shallow marine formations.
process;radio wave stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths ranging from millimetre to kilometer scales.
material entity;paint thinner;A solvent that can dissolve paint and reduce viscosity of paint or "thin" it.
process;ionizing stellar radiation;A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.
material entity;naphtha;A flammable liquid hydrocarbon mixture produced from natural gas condensates, petroleum distillates, and the distillation of coal tar and peat.
material entity;turpentine;A fluid obtained by the distillation of resin harvested from living trees, primarily used as a solvent.
material entity;office building;A commercial building which contains parts used as workplaces primarily for administrative and managerial workers.
material entity;luminescent paint;A paint that exhibits luminescence, giving off visible light through fluorescence, phosphorescence, or radioluminescence.
process;water accumulation process;A process during which liquid water accumulates in a site, most often in some form of container.
material entity;acrylic paint;A water soluble, fast-drying paint made of pigment suspended in acrylic polymer emulsion.
material entity;intermittent wetland;A wetland ecosystem which is sometimes inundated or saturated by surface or ground water sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions.
material entity;oil-based paint;A slow-drying paint that consists of particles of pigment suspended in a drying oil, commonly linseed oil.
material entity;vitreous enamel;A smooth, durable vitreous coating which is made by fusing powdered glass to a substrate.
material entity;container of an intermittent lake;A depression which intermittently contains a lake.
material entity;stream mouth;The place where a stream discharges into a lagoon, lake, or the sea.
process;lithification;A process during which sediments compact under pressure, expel connate fluids, and gradually become solid sedimentary rock.
material entity;river mouth;The end of a stream where it enters a standing water body such as a lake, sea or ocean.
material entity;alluvial deposit;A rock which is formed as a result of the lithification of alluvium.
material entity;stream bed;The channel bottom of a stream. the physical confine of the normal water flow.
material entity;ranch;An area of land used for the herding and grazing of livestock.
material entity;river bed;The channel bottom of a river. the physical confine of the normal water flow.
material entity;grassland ecosystem;An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dynamics.
material entity;massif;A section of the Earths's crust that is demarcated by faults or flexures. In the movement of the crust, a massif tends to retain its internal structure while being displaced as a whole.
material entity;marine environmental zone;An astronomical body part which is part of a marine environment.
material entity;lake shore;That part of the land in immediate contact with a lake.
fiat object;anthropised terrestrial environmental zone;A terrestrial zone which is bounded by constructed, manufactured, or other anthropogenic material entities.
material entity;volume of cyanoacrylate;An environmental material which is primarily composed of cyanoacrolate.
material entity;alluvial sediment;Sediment which has been transported by flowing water and redeposited in a non-marine setting.
material entity;radioactive material;Any material containing unstable atoms that emit ionizing radiation as it decays.
object;ice shelf;An ice mass which 1) is attached to the coast 2) at least 2 meters in thickness 3) forms where a glacier or ice mass flows down to a coastline and onto the ocean surface and 4) grows by annual snow accumulation or by the seaward extension of land glaciers.
material entity;alluvium;Soil or sediment which has been eroded and influenced by flowing water and redeposited in a non-marine setting.
material entity;rock dust;Dust which is composed of minerals and trace elements, generated by finely crushed rock.
material entity;wetland ecosystem;A terrestrial ecosystem which is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances does support, a prevalence of vegetation typically adapted for life in saturated soil conditions.
fiat object;swamp area;An area of wetland which overlaps a swamp ecosystem.
process;defence against flooding;A planned process during which an environmental system is modified to mitigate or nullify the impacts of flooding.
material entity;canal head reservoir;A reservoir constructed for the purpose of maintaining water levels in a canal or canals.
disposition;inundation disposition;The disposition of an environmental system to be covered by liquid water.
material entity;wood stain;A stain which has colorants dissolved and/or suspended in a vehicle or solvent, used to add color to wood.
fiat object;biosphere reserve;An international conservation designation given by UNESCO under its Programme on Man and the Biosphere (MAB).
material entity;stain;A preparation with dye or pigment used to deposit coloration to a substrate.
material entity;artificial lake;A lake purposefully constructed.
fiat object;wildlife management area;A protected area with the purpose of protecting and managing wild life.
fiat object;world heritage site;A protected area that is a specific site (such as a forest, mountain, lake, desert, monument, building, complex, or city) that has been nominated and confirmed for inclusion on the list maintained by the international World Heritage Programme administered by the UNESCO World Heritage Committee.
material entity;gasoline exhaust;A gas which results from the complete or incomplete combustion of gasoline fuel.
material entity;pyroclastic shield volcano;A shield volcano that is formed mostly of pyroclastic and highly explosive eruptions rather than relatively fluid basaltic lava issuing from vents or fissures on the surface of the volcano. They typically display low-angle flank slopes and have little or no central collapse, although a shallow sag in the shield is commonly observed. Lava is commonly extruded after the cessation of explosive activity commonly superposes the vent region.
material entity;diesel exhaust;A gas which results from the incomplete or complete combustion of diesel fuel.
material entity;gasoline;A clear petroleum-derived flammable liquid which is used as fuel in most spark-ignited internal combustion engines.
material entity;tuya;A distinctive, flat-topped, steep-sided volcano formed when lava erupts through a thick glacier or ice sheet.
material entity;diesel fuel;A liquid fuel used in diesel engines, whose fuel ignition takes place, without any spark, as a result of compression of the inlet air mixture and then injection of fuel.
material entity;complex volcano;A volcano with more than one feature. They form because changes of their eruptive characteristics or the location of multiple vents in an area. Stratovolcanoes may form complex volcanoes, because they may overlap another from explosive eruptions, lava flows, pyroclastic flows and by repeated eruptions, to make multiple summits and vents. Stratovolcanoes could also form a large caldera that gets filled in by multiple small cinder cones, lava domes and craters may also develop on the caldera's rim.
material entity;motor oil;A lubricant for internal combustion engines which 1) reduces friction and wear 2) cleans the engine 3) neutralizes acids 4) improves sealing of piston rings, and 5) cools the engine.
material entity;hydraulic fluid;A medium by which power is transferred in hydraulic machinery.
process;famine;An environmental system process during which populations have reduced access to food, causing increased hunger, malnutrition, and consequent mortality.
material entity;textile dye;Dyes utilized for coloring textiles such as wool or cellulose fibers.
material entity;paper dye;Dyes used for the coloration or brightening of paper.
material entity;brine pool;MERGED DEFINITION: TARGET DEFINITION: A large area of brine on the ocean basin near cold seep vents which release methane into the water. These pools are concentrations of water having an extremely high salinity as compared to the surrounding ocean, caused by the motion of large salt deposits through salt tectonics. -------------------- SOURCE DEFINITION: Marine brine pools are large areas of brine on the ocean basin. These pools are bodies of water that have a salinity three to five times greater than the surrounding ocean. For deep-sea brine pools the source of the salt is the dissolution of large salt deposits through salt tectonics. The brine often contains high concentrations of methane, providing energy to chemosynthetic animals that live near the pool.
material entity;leather dye;Pigments carried by solvents or water which are applied to leather to be absorbed into the pores of the leather to deposit coloration.
material entity;dye;A coloured substance that chemically bonds to the substrate to which it is being applied
fiat object;IUCN national park;An IUCN protected area which 1) primarily consists of ecosystems which are able to maintain their natural composition, structure, and function at a regional scale and which are deemed to be representative of a region's natural bio- and geodiversity, 2) is sufficiently large to allow its constituent ecosystems to function, develop, and recover from natural perturbations without human intervention, and 3) is managed to preserve natural ecosystem integrity and functioning at a regional scale, while allowing human access for the purposes of conservation, cultural and spiritural activities, research, education, tourism, subsistence use by indigenous communities, and recreation.
material entity;ephemeral island;An island, usually the consequence of the activity of a submarine volcano, that only exists for a short period or short periods of time after its formation, then being eroded or otherwise disappearing beneath the surface of a body of water.
fiat object;Ramsar site;A wetland protected by the terms of the Ramsar Convention (The Convention on Wetlands of International Importance, especially as Waterfowl Habitat).
fiat object;area designated as a national nature reserve;An area of protected biodiversity which is of national significance for biological or Earth science interest.
fiat object;area designated as a nature reserve;A protected area of importance for wildlife, flora, fauna or features of geological or other special interest, which is reserved and managed for conservation and to provide special opportunities for study or research. Nature reserves may be designated by government institutions in some countries, such as the United Kingdom, or by private landowners, such as charities and research institutions, regardless of nationality.
fiat object;national wildlife refuge;A designation for certain protected areas of the United States managed by the United States Fish and Wildlife Service. The National Wildlife Refuge system is a network of lands and waters managed to protect wildlife and wildlife habitat.
fiat object;site of special scientific interest;A conservation designation denoting a protected area in the United Kingdom. SSSIs are the basic 'building block' of nature conservation legislation and most other legal nature/geological conservation designations are based upon them, including National Nature Reserves, Ramsar Sites, Special Protection Areas, and Special Areas of Conservation.
material entity;cleaning agent;A liquid, powder, spray, or granule used to remove dirt, including dust, stains, bad smells, and clutter on surfaces.
fiat object;marine park area;A protected area of the sea usually established to preserve a specific habitat and ensure the ecosystem is sustained for the organisms that exist there. Most marine parks are designated by governments, and organized like watery national parks.
material entity;resin;A solid or highly viscous plant or synthetic based substance that is typically convertible into polymers.
material entity;fountain pen ink;Water based ink intended for use with fountain ink pens.
fiat object;area of national forest;A protected forest or woodland area in the United States. National forests are controlled by the federal government and managed by the United States Forest Service, under the direction of the United States Department of Agriculture.
material entity;tragacanth;A naturally occurring plant-based gum, which functions as a viscous, odorless, tasteless, water-soluble mixture of polysaccharides that absorbs water to become a gel/paste.
material entity;xanthan gum;A polysaccharide that functions as an emulsifier, stabilizer, and thickener in mixtures.
material entity;India ink;A black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water.
material entity;lacquer;A category of hard and potentially shiny (clear or colored) finishes which can be applied to materials including wood or metal.
material entity;shellac;A resin secreted by the female lac bug, which is dissolved in alcohol to be used as a brush-on colorant, food glaze, and wood finish.
fiat object;area of protected biodiversity;An area of land or of a body of water in which management practices, through legal or other effective means, prioritise the protection and maintenance of biological diversity, and of natural and associated cultural resources.
material entity;resin (gum) varnish;A varnish containing a natural, plant- or insect-derived substance dissolved in a solvent, called spirit varnish or solvent varnish.
material entity;natural monument;A natural environment which has been designated by a competent authority as having outstanding or unique value because of its rarity, aesthetic qualities, or cultural significance.
material entity;varnish;A clear transparent hard protective film or finish, primarily used for wood finishing applications.
material entity;pyroclastic cone;A cone made of material ejected from a volcano. The material can range from finest particles. In comparison, cinder cones are more uniform. They are usually found in or on larger features, such as stratovolcanoes, shield volcanoes and can be found inside calderas, however they can also be an independent feature. They can range from a few metres in height and are usually formed by a single eruption.
material entity;degreaser;A cleaning agent which 1) contains organic solvents and 2) dissolves oils and fats for the removal of grease.
material entity;lock;A device for raising and lowering boats between stretches of water of different levels on river and canal waterways. The distinguishing feature of a lock is a fixed chamber whose water level can be varied.
material entity;volcanic field;A geothermal field which is prone to localized volcanic activity.
material entity;monogenetic volcanic field;A volcanic field of small, scattered volcanic vents. These volcanic fields, containing numerous monogenetic volcanoes, are noted for having only one short eruptive event. Monogenetic fields occur only where the magma supply to the volcano is low or where vents are not close enough or large enough to develop plumbing systems for continuous feeding of magma.
material entity;rainwater;Rainwater is liquid water which has precipitated in the form of droplets through the condensation of atmospheric water vapour.
material entity;truck;A truck is a motor vehicle which, as its primary funcion, transports cargo rather than human passangers.
material entity;motor vehicle;A motor vehicle is a vehicle which is propelled by an engine or motor and that does not operate on rails.
material entity;bodily fluid material;An organic material which is primarily composed of some natural bodily fluid or secretion such as blood, semen, saliva, blood plasma, intracellular and interstitial fluids.
material entity;boat;A boat is a watercraft of any size which is able to float or plane on water.
material entity;animal-drawn cart;An animal-drawn cart is a cart which is attached to one or more working or draught animals.
material entity;motor boat;A motor boat is a boat which is propelled by a motor.
material entity;vehicle;A vehicle is a mobile machine which transports people or cargo.
material entity;water truck;A water truck is a truck which transports water.
material entity;cart;A cart is a vehicle which has two wheels and is designed to transport human passengers or cargo.
material entity;car;A car is a wheeled motor vehicle used primarily for the transportation of human passengers. Most definitions of the term specify that cars are designed to run primarily on roads, to have seating for one to eight people, to typically have four wheels, and to be constructed principally for the transport of people rather than goods.
material entity;amniotic fluid material;A bodily fluid material which is composed primarily of amniotic fluid, a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided.
material entity;blood material;A bodily fluid material which is composed primarily of blood, a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature.
material entity;sweat material;An excreta material which is composed primarily of sweat, an excreta consisting primarily of water as well as a smaller amount of sodium chloride that is excreted by the sweat glands in the skin of mammals.
material entity;aqueous humour material;A bodily fluid material which is composed primarily of aqueous humour, a bodily fluid consisting of a thick watery substance that fills the space between the lens and the cornea.
material entity;bile material;A bodily fluid material which is composed primarily of bile, a bodily fluid consisting of a bitter, yellow or green alkaline fluid secreted by hepatocytes from the liver of most vertebrates. In many species, bile is stored in the gallbladder between meals and upon eating is discharged into the duodenum where the bile aids the process of digestion of lipids.
material entity;excreta material;A bodily fluid material which is composed primarily of excreta, bodily fluids consisting of matter which contains the waste products of biological processes, including urine or feces, discharged from an organism's body.
material entity;cerebrospinal fluid material;A bodily fluid material which is composed primarily of cerebrospinal fluid, a clear bodily fluid that occupies the subarachnoid space and the ventricular system around and inside the brain. CSF is a clear bodily fluid that occupies the subarachnoid space and the ventricular system around and inside the brain.
material entity;ear wax material;A bodily fluid material which is composed primarily of ear wax, a bodily fluid consisting of a yellowish, waxy substance secreted in the ear canal of humans and many other mammals. It plays an important role in the human ear canal, assisting in cleaning and lubrication, and also provides some protection from bacteria, fungi, and insects.
material entity;blood plasma material;A bodily fluid material which is composed primarily of blood plasma, a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume.
material entity;chyme material;A bodily fluid material which is composed primarily of chyme, a bodily fluid consisting of a liquid substance found in the stomach before passing through the pyloric valve and entering the duodenum. It results from the mechanical and chemical breakdown of a bolus and consists of partially digested food, water, hydrochloric acid, and various digestive enzymes.
material entity;vitreous humor material;A bodily fluid material which is composed primarily of vitreous humor, a bodily fluid consisting of a clear gel that fills the space between the lens and the retina of the eyeball of humans and other vertebrates.
material entity;breast milk material;A bodily fluid material which is composed primarily of breast milk, is a bodily fluid produced that is secreted from two milk-secreting glandular organs on a female's chest.
material entity;chyle material;A bodily fluid material which is composed primarily of chyle, a bodily fluid consisting of a milky fluid consisting of lymph and emulsified fats. formed in the small intestine during digestion of ingested fats.
material entity;automatic transmission fluid;Fluid used for valve operation, brake band friction, and gear lubrication within an automatic vehicle transmission.
material entity;brake fluid;A hydraulic fluid which is 1) used in hydraulic brake and hydraulic clutch applications in vehicles to amplify braking force and 2) composed primarily of ethylene glycol, polyglycols, silicone fluids, and isobutyl alcohol.
material entity;wood dust;Dust which is 1) generated when wood is processed and 2) composed primarily of cellulose, polyoses, and lignin.
process;plant tissue culture;Plant tissue culture is the growth or maintenance of plant cells, tissues, organs or whole plants in vitro.
material entity;cell culture;A cell culture is a growth of cells in vitro in an artificial medium for experimental research.
material entity;pockmark field;A pockmark field is an undersea feature formed by shallow seabed depressions, typically several tens of metres across and a few metres deep. Generally, they are formed in soft, fine-grained seabed sediments by the escape of fluids (gas or water, but mainly methane) into the water column.
material entity;bedclothing;Bedclothing is a textile covering used on a bed as a sheet, blanket, or pillowcase.
material entity;textile;A textile is a manufactured product comprised of a network of natural or artificial fibers (often referred to as thread or yarn).
material entity;hypodermic needle;A hypodermic needle is a medical instrument made from a hollow needle. It is commonly used with a syringe to inject substances into the body of an organism.
process;tissue culture;Tissue culture is the culture of cells, tissues or organs in a nutrient medium under sterile conditions.
material entity;nesting material;Nesting material is an animal habitation consisting of matierals used to cushion, insulate and protect the young of the organism. The adult will use the material to form a protective structure to house and raise their young. Nests are built primarily by birds, but also by mammals, fish, insects and reptiles.
process;organ culture;Organ culture is the aseptic culture of complete living organs of animals and plants outside the body in a suitable culture medium. Animal organs must be small enough to allow the nutrients in the culture medium to penetrate all the cells.
material entity;liquid planetary core;A liquid planetary core is a planetary core which is primarily composed of liquid material.
material entity;inner planetary core;
material entity;lithosphere;A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties.
material entity;solid planetary core;A solid planetary core is a planetary core which is primarily composed of solid material.
material entity;planetary mantle;A planetary mantle is a planetary layer which is an interior part of a terrestrial planet or other rocky body large enough to have differentiation by density.
material entity;outer planetary core;
material entity;planetary core;A planetary core is the innermost structural layer or layers of a planet. The core may be entirely liquid, entirely solid, or have both liquid and solid parts.
material entity;cloth;A textile comprised of a pliable material made usually by weaving, felting, or knitting natural or synthetic fibers and filaments.
material entity;plant feed;Food material which can be used to meet nutritional requirements of plants.
material entity;magma;Magma is a mixture of molten or semi-molten rock, volatiles, and solids that is found beneath the uppermost solid layer of a planetary body. Besides molten rock, magma may also contain suspended crystals, dissolved gas and sometimes gas bubbles.
material entity;asthenosphere;An asthenosphere is a layer of a terrestrial-type planet or natural satellite which is highly viscous, mechanically weak, and ductilely deforming.
material entity;trench;A trench is a type of excavation or depression in the ground that is generally deeper than it is wide (as opposed to a wider gully or ditch), and narrow compared to its length (as opposed to a simple hole).
material entity;surface soil;A soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter.
process;ecosystem-wide aerobic respiration;A process which consists of all aerobic respiration processes instantiated in an ecosystem.
material entity;chonolith;A chonolith is an igneous rock intrusion of irregular shape with a demonstrable base, absent in other types of irregularly-shaped intrusions.
material entity;planetary landmass;A landmass which is part of a planet.
process;volcanic eruption;A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.
process;ocean acidification;Ocean acidification is a process during which the pH of a sea or ocean is lowered.
process;acidification of an aquatic environment;Acidification of an aquatic environment is a process whereby the pH of an aquatic environment, biome, or water body is lowered.
material entity;outer space;Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
material entity;liquid planetary surface;
material entity;planetary structural layer;A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition.
material entity;planetary crust;A planetary crust is the outermost solid shell of a rocky planet or natural satellite, which is chemically distinct from the underlying mantle.
process;vaporisation;Vaporisation of an element or compound is process whereby that element or compound undergoes a phase transition from the liquid to vapor.
material entity;microcosm;A microcosm is a vivarium within which a simple ecosystem is artificially established and used to simulate and predict the behaviour of natural ecosystems under controlled conditions.
