class;term;comment
material entity;miscellaneous office or administrative support worker;
material entity;detective or criminal investigator (broad);
material entity;cook, restaurant;Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu.
material entity;other transportation worker;
material entity;construction manager;Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.
material entity;medical records specialist (broad);
material entity;first-line supervisor of entertainment or recreation worker;
material entity;textile winding, twisting, or drawing out machine setter, operator, or tender;Set up, operate, or tend machines that wind or twist textiles. or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.
material entity;automotive service technician or mechanic;Diagnose, adjust, repair, or overhaul automotive vehicles.
material entity;general internal medicine physician;Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in an outpatient care setting.
material entity;jeweler or precious stone or metal worker;Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.
material entity;nurse practitioner;Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.
material entity;materials engineer (broad);
material entity;roustabout, oil or gas;
material entity;miscellaneous computer occupation;
material entity;first-line supervisor of material-moving machine or vehicle operator;Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.
material entity;logistics analyst;Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.
material entity;plasterer or stucco mason;Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster.
material entity;operations research analyst (broad);
material entity;logistics engineer;Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.
material entity;logistician;Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.
material entity;credit authorizer, checker, or clerk (broad);
material entity;freight forwarder;Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.
material entity;cargo or freight agent;Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs.
material entity;gem or diamond worker;Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.
material entity;property, real estate, or community association manager;Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).
material entity;top executive;
material entity;marine engineer or naval architect;Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.
material entity;office clerk, general;Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, office machine operation, and filing.
material entity;clergy;Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.
material entity;adapted physical education specialist;Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.
material entity;special education teacher, all other;All special education teachers not listed separately.
material entity;weatherization installer or technician;Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.
material entity;line installer or repairer;
material entity;genetic counselor;Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.
material entity;grounds maintenance worker (minor);
material entity;public relations or fundraising manager;
material entity;miscellaneous educational instruction or library worker;
material entity;meat, poultry, or fish cutter or trimmer;Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.
material entity;computer numerically controlled tool operator or programmer;
material entity;health education specialist;Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.
material entity;healthcare support occupation;
material entity;reinforcing iron or rebar worker (broad);
material entity;waiter or waitress;Take orders and serve food and beverages to patrons at tables in dining establishment.
material entity;industrial truck or tractor operator (broad);
material entity;cement mason, concrete finisher, or terrazzo worker;
material entity;stationary engineer or boiler operator;Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.
material entity;stone cutter or carver, manufacturing;Cut or carve stone according to diagrams and patterns.
material entity;human resources assistant, except payroll or timekeeping (broad);
material entity;molder, shaper, or caster, except metal or plastic;Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.
material entity;security or fire alarm systems installer;Install, program, maintain, and repair security and fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes.
material entity;potter, manufacturing;Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.
material entity;automotive or watercraft service attendant;Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires.
material entity;glass blower, molder, bender, or finisher;Shape molten glass according to patterns.
material entity;helpers--carpenter;Help carpenters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.
material entity;advertising sales agent (broad);
material entity;construction or related worker, all other;All construction and related workers not listed separately.
material entity;machinist;Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.
material entity;printing press operator;Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.
material entity;physician, all other;All physicians not listed separately.
material entity;solar energy installation manager;Direct work crews installing residential or commercial solar photovoltaic or thermal systems.
material entity;first-line supervisor of construction trades or extraction worker;Directly supervise and coordinate activities of construction or extraction workers.
material entity;health specialties teacher, postsecondary;Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.
material entity;occupational therapy aide;Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.
material entity;food processing worker;
material entity;sociologist (broad);
material entity;preventive medicine physician;Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.
material entity;sports medicine physician;Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.
material entity;urologist;Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.
material entity;physical medicine or rehabilitation physician;Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.
material entity;pump operator, except wellhead pumper;Tend, control, or operate power-driven, stationary, or portable pumps and manifold systems to transfer gases, oil, other liquids, slurries, or powdered materials to and from various vessels and processes.
material entity;allergist or immunologist;Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.
material entity;hospitalist;Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.
material entity;presser, textile, garment, or related materials (broad);
material entity;pile driver operator;Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers.
material entity;command or control center specialist;Operate and monitor communications, detection, and weapons systems essential for controlling air, ground, and naval operations. Duties include maintaining and relaying critical communications between air, naval, and ground forces. implementing emergency plans for natural and wartime disasters. relaying command center information to high-level military and government decisionmakers. monitoring surveillance and detection systems, such as air defense. interpreting and evaluating tactical situations and making recommendations to superiors. and operating weapons targeting, firing, and launch computer systems.
material entity;musical instrument repairer or tuner;Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning.
material entity;miscellaneous life, physical, or social science technician;
material entity;bill or account collector (broad);
material entity;mathematician;Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.
material entity;editor;Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.
material entity;protective service occupation;
material entity;supervisor of installation, maintenance, or repair worker;
material entity;paralegal or legal assistant;Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.
material entity;gambling dealer;Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.
material entity;general or operations manager;Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.
material entity;film or video editor;Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.
material entity;first-line supervisor of building or grounds cleaning or maintenance worker;
material entity;animal caretaker (broad);
material entity;nursing instructor or teacher, postsecondary;Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;computer numerically controlled tool programmer;Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment.
material entity;law enforcement worker;
material entity;paperhanger;Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered.
material entity;grader or sorter, agricultural products;Grade, sort, or classify unprocessed food and other agricultural products by size, weight, color, or condition.
material entity;architectural or engineering manager;Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.
material entity;biofuels/biodiesel technology or product development manager;Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.
material entity;meter reader, utilities;Read meter and record consumption of electricity, gas, water, or steam.
material entity;first-line supervisor of gambling services worker;Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.
material entity;tool or die maker (broad);
material entity;motorboat operator;Operate small motor-driven boats. May assist in navigational activities.
material entity;plant or system operator;
material entity;food cooking machine operator or tender;Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.
material entity;veterinarian (broad);
material entity;mail clerk or mail machine operator, except postal service;Prepare incoming and outgoing mail for distribution. Time-stamp, open, read, sort, and route incoming mail. and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completed forms.
material entity;tire builder;Operate machines to build tires.
material entity;passenger vehicle driver;
material entity;director, religious activities or education (broad);
material entity;structural metal fabricator or fitter (broad);
material entity;family or consumer sciences teacher, postsecondary;Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;command or control center officer;Manage the operation of communications, detection, and weapons systems essential for controlling air, ground, and naval operations. Duties include managing critical communication links between air, naval, and ground forces. formulating and implementing emergency plans for natural and wartime disasters. coordinating emergency response teams and agencies. evaluating command center information and need for high-level military and government reporting. managing the operation of surveillance and detection systems. providing technical information and advice on capabilities and operational readiness. and directing operation of weapons targeting, firing, and launch computer systems.
material entity;flight attendant (broad);
material entity;stonemason;Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors.
material entity;insurance underwriter;Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
material entity;other teacher or instructor;
material entity;broadcast, sound, or lighting technician;
material entity;emergency management director;Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.
material entity;physical sciences teacher, postsecondary;
material entity;glazier (broad);
material entity;coin, vending, or amusement machine servicer or repairer;Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.
material entity;first-line enlisted military supervisor (minor);
material entity;miscellaneous community or social service specialist;
material entity;lathe or turning machine tool setter, operator, or tender, metal or plastic;Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.
material entity;rehabilitation counselor;Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.
material entity;fire-prevention or protection engineer;Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.
material entity;health or safety engineer, except mining safety engineer or inspector;Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.
material entity;advertising sales agent;Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.
material entity;geological technician, except hydrologic technician;Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.
material entity;correspondence clerk;Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence.
material entity;tile or stone setter;Apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks.
material entity;exercise trainer or group fitness instructor;Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.
material entity;power plant operator;Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.
material entity;religious worker, all other;All religious workers not listed separately.
material entity;ophthalmologist, except pediatric;Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment including glasses and contacts.
material entity;news analyst, reporter, or journalist;Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.
material entity;biomass plant technician;Control and monitor biomass plant activities and perform maintenance as needed.
material entity;hydroelectric plant technician;Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.
material entity;rail-track laying or maintenance equipment operator (broad);
material entity;production occupation;
material entity;life scientist, all other;All life scientists not listed separately.
material entity;pipelayer;Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints.
material entity;crushing, grinding, polishing, mixing, or blending worker;
material entity;credit analyst (broad);
material entity;substitute teacher, short-term;Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.
material entity;textile knitting or weaving machine setter, operator, or tender;Set up, operate, or tend machines that knit, loop, weave, or draw in textiles.
material entity;air traffic controller;Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.
material entity;philosophy or religion teacher, postsecondary;Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;substance abuse or behavioral disorder counselor;Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.
material entity;carpenter;Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms. building frameworks, including partitions, joists, studding, and rafters. and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.
material entity;medical equipment preparer;Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.
material entity;economics teacher, postsecondary;Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;new accounts clerk;Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.
material entity;derrick, rotary drill, or service unit operator, oil or gas;
material entity;computer, automated teller, or office machine repairer (broad);
material entity;biological technician;Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.
material entity;medical scientist, except epidemiologist;Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.
material entity;computer or information research scientist;Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.
material entity;supervisor of personal care or service worker;
material entity;fundraiser;Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.
material entity;economist (broad);
material entity;miscellaneous sales representative, services;
material entity;earth driller, except oil or ga;Operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators.
material entity;licensed practical or licensed vocational nurse;Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.
material entity;semiconductor processing technician (broad);
material entity;engineering technologist or technician, except drafter;
material entity;traffic technician (broad);
material entity;miscellaneous woodworker;
material entity;chiropractor (broad);
material entity;water transportation worker;
material entity;financial specialist;
material entity;terrazzo worker or finisher;Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces.
material entity;barber, hairdresser, hairstylist or cosmetologist;
material entity;agricultural sciences teacher, postsecondary;Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;designer;
material entity;agent or business manager of artist, performer, or athletes;Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.
material entity;database architect;Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.
material entity;industrial production manager (broad);
material entity;data warehousing specialist;Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.
material entity;supervisor of office or administrative support worker;
material entity;food service manager (broad);
material entity;extruding or drawing machine setter, operator, or tender, metal or plastic;Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.
material entity;dispatcher, except police, fire, or ambulance;Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.
material entity;entertainment attendant or related worker, all other;All entertainment attendants and related workers not listed separately.
material entity;aircraft mechanic or service technician;
material entity;tailor, dressmaker, or sewer;
material entity;industrial-organizational psychologist;Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning. employee testing and selection, training, and development. and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.
material entity;small engine mechanic;
material entity;social work teacher, postsecondary;Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;paramedic;Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals.
material entity;social science research assistant;Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.
material entity;locomotive engineer;Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations.
material entity;cabinetmaker or bench carpenter;Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.
material entity;computer support specialist;
material entity;host or hostess, restaurant, lounge, or coffee shop;Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.
material entity;supervisor of food preparation or serving worker (minor);
material entity;building cleaning worker;
material entity;taxi driver;Drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter.
material entity;personal service manager;
material entity;compensation, benefits, or job analysis specialist;
material entity;electrical or electronics engineer;
material entity;electrician;Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.
material entity;entertainment or recreation manager, except gambling;Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.
material entity;chemical equipment operator or tender;Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.
material entity;physics teacher, postsecondary;Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;concierge;Assist patrons at hotel, apartment, or office building with personal services. May take messages. arrange or give advice on transportation, business services, or entertainment. or monitor guest requests for housekeeping and maintenance.
material entity;military officer special or tactical operations leader, all other;All military officer special and tactical operations leaders not listed separately.
material entity;art director;Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.
material entity;engine or other machine assembler;Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.
material entity;data entry or information processing worker;
material entity;environmental scientist or geoscientist;
material entity;sales representative in wholesale or manufacturing (minor);
material entity;judge, magistrate judge, or magistrate;Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.
material entity;gas plant operator;Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.
material entity;miscellaneous engineer;
material entity;software developer;Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.
material entity;entertainer or performer, sports or related worker, all other;All entertainers and performers, sports and related workers not listed separately.
material entity;legislator (broad);
material entity;precision instrument or equipment repairer, all other;All precision instrument and equipment repairers not listed separately.
material entity;miscellaneous textile, apparel, or furnishings worker;
material entity;logging equipment operator;Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree. to skid, load, unload, or stack logs. or to pull stumps or clear brush. Includes operating stand-alone logging machines, such as log chippers.
material entity;explosives worker, ordnance handling expert, or blaster;Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures.
material entity;librarian or media collections specialist;
material entity;buyer or purchasing agent;
material entity;biological scientist;
material entity;orthodontist;Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.
material entity;credit counselor;Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.
material entity;engineering teacher, postsecondary;Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;sales engineer (broad);
material entity;musician or singer;Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.
material entity;continuous mining machine operator;Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors, shuttle cars, or trucks in a continuous operation.
material entity;computer hardware engineer;Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.
material entity;control or valve installer or repairer, except mechanical door;Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors.
material entity;food preparation worker (broad);
material entity;first-line supervisor of all other tactical operations specialist;Supervise and coordinate the activities of all other tactical operations specialists not classified separately above. Supervisors may also perform the same activities as the workers they supervise.
material entity;lawyer or judicial law clerk;
material entity;animal scientist;Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.
material entity;lodging manager;Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.
material entity;sociology teacher, postsecondary;Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;community or social service specialist, all other;All community and social service specialists not listed separately.
material entity;farm equipment mechanic or service technician;Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.
material entity;animal trainer;Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.
material entity;communications teacher, postsecondary;Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;other personal care or service worker;
material entity;forest, conservation, or logging worker;
material entity;pharmacy technician;Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.
material entity;assembler or fabricator;
material entity;architectural or civil drafter;Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.
material entity;furniture finisher (broad);
material entity;postal service worker;
material entity;phlebotomist;Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.
